nb_orders_obs,n,churn_rate
1,1410,0.7432624113475177
2,776,0.5889175257731961
3,503,0.46918489065606517
4,373,0.4316353887399464
5,269,0.32713754646840143
6,199,0.30653266331658313
7,173,0.2427745664739884
8,131,0.19847328244274814
9,99,0.08080808080808081
10,94,0.09574468085106386
11,74,0.20270270270270274
12,53,0.11320754716981134
13,50,0.16000000000000003
14,29,0.06896551724137931
15,32,0.06250000000000003
16,27,0.11111111111111112
17,26,0.11538461538461538
18,25,0.07999999999999999
19,21,0.047619047619047616
