customer_id,recency,frequency,monetary,segment,churned
13997,337,3,382.310000000,à_risque_critique,True
14260,289,3,824.280000000,à_risque_critique,True
17006,210,4,854.540000000,à_risque_critique,False
17610,358,5,1529.490000000,à_risque_critique,True
15652,205,4,1082.600000000,à_risque_critique,False
16702,233,4,1109.530000000,à_risque_critique,True
18048,21,3,401.730000000,à_surveiller,True
15134,31,4,447.750000000,à_surveiller,False
13734,326,4,6701.640000000,à_surveiller,True
15990,105,6,1619.310000000,à_surveiller,False
18106,147,6,1461.460000000,à_surveiller,True
17609,120,8,1312.270000000,à_surveiller,False
16350,151,6,1514.120000000,à_surveiller,False
13725,43,6,1751.600000000,à_surveiller,False
18093,115,6,3463.710000000,à_surveiller,False
13313,33,9,2499.740000000,sain,False
14286,60,5,5901.090000000,sain,False
13946,19,5,1800.630000000,sain,False
17667,29,7,3251.860000000,sain,False
15059,33,14,2754.070000000,sain,False
14701,65,11,3763.470000000,sain,False
17428,30,30,21851.730000000,sain,False
16735,57,11,5067.920000000,sain,False
12980,5,19,14329.860000000,sain,False
13319,4,45,16246.850000000,sain,False
14543,8,32,13697.340000000,sain,False
14221,8,12,4738.520000000,sain,False
13601,29,3,865.020000000,à_risque_critique,False
14285,331,4,1374.410000000,à_risque_critique,False
13299,86,3,1218.700000000,à_risque_critique,True
15944,94,4,2164.240000000,à_surveiller,True
15889,187,7,1649.280000000,à_surveiller,False
13846,60,3,1106.660000000,à_surveiller,False
15452,82,4,1507.630000000,à_surveiller,False
14404,77,10,2148.370000000,à_surveiller,False
16027,36,12,1630.410000000,sain,False
14343,239,4,1088.910000000,à_risque_critique,True
17293,126,10,2368.470000000,sain,False
13397,1,8,2628.210000000,sain,False
15768,21,33,15458.410000000,sain,False
14061,325,3,917.430000000,à_risque_critique,True
17376,129,3,356.290000000,à_risque_critique,False
17941,408,3,1128.720000000,à_risque_critique,False
17898,25,3,246.960000000,à_risque_critique,False
14741,179,3,992.550000000,à_risque_critique,False
15607,154,9,1708.970000000,à_surveiller,True
17375,17,4,660.550000000,à_surveiller,True
18218,29,4,1142.000000000,à_surveiller,True
16609,15,3,1987.620000000,à_surveiller,False
13291,232,10,2959.730000000,à_surveiller,False
17861,71,12,3484.870000000,sain,False
18260,23,22,9534.980000000,sain,False
13769,25,15,4451.920000000,sain,False
14849,31,28,10245.820000000,sain,False
16985,29,19,8374.400000000,sain,False
16890,294,3,277.910000000,à_risque_critique,True
13922,169,3,865.200000000,à_risque_critique,True
13656,155,3,861.900000000,à_risque_critique,False
15068,74,3,863.450000000,à_risque_critique,False
17222,295,5,1234.960000000,à_risque_critique,False
16650,238,6,1397.690000000,à_surveiller,False
15228,112,3,3098.410000000,à_surveiller,False
15491,36,3,1644.920000000,à_surveiller,False
16998,22,4,394.100000000,à_surveiller,False
16005,88,7,1998.000000000,à_surveiller,False
15633,327,13,4352.460000000,sain,True
14541,32,12,2051.780000000,sain,False
15681,1,12,2266.760000000,sain,False
15716,19,10,2837.920000000,sain,False
13911,15,17,3357.990000000,sain,False
13654,19,8,4773.510000000,sain,False
16701,7,19,6716.720000000,sain,False
15159,2,18,9151.590000000,sain,False
14283,281,4,628.440000000,à_risque_critique,True
16532,156,3,3918.240000000,à_surveiller,False
15051,197,6,2543.550000000,à_surveiller,False
17241,203,12,2744.140000000,à_surveiller,True
13362,63,5,3884.860000000,sain,False
14524,54,8,1843.610000000,sain,False
15493,67,6,3255.940000000,sain,False
17340,10,11,15854.340000000,sain,False
15886,234,3,871.780000000,à_risque_critique,False
14942,219,4,746.560000000,à_risque_critique,True
13338,359,3,1908.600000000,à_risque_critique,False
14813,187,4,1090.870000000,à_risque_critique,True
17812,186,4,651.280000000,à_risque_critique,False
15551,212,6,1274.020000000,à_surveiller,False
14225,252,4,2037.020000000,à_surveiller,True
16636,256,4,3802.040000000,à_surveiller,True
13211,179,8,1642.600000000,à_surveiller,False
14231,1,4,1235.620000000,à_surveiller,True
16221,93,8,1684.570000000,à_surveiller,False
16832,2,5,417.610000000,à_surveiller,True
17707,3,8,609.300000000,à_surveiller,True
15100,151,7,2894.700000000,à_surveiller,True
16940,107,6,4135.460000000,sain,False
14390,29,7,2783.090000000,sain,False
13591,22,6,1753.040000000,sain,False
13643,3,8,1725.230000000,sain,False
14211,25,14,3071.080000000,sain,False
13564,172,36,16630.800000000,sain,True
14817,18,7,3609.860000000,sain,True
17017,22,20,9910.170000000,sain,False
13590,17,15,5279.700000000,sain,False
17315,9,25,6250.660000000,sain,False
17201,341,3,888.910000000,à_risque_critique,False
14139,308,3,670.980000000,à_risque_critique,False
16287,194,4,864.480000000,à_risque_critique,False
15715,373,5,658.020000000,à_risque_critique,True
16569,449,4,1331.030000000,à_risque_critique,False
14443,128,3,1574.670000000,à_risque_critique,False
13187,155,4,348.010000000,à_risque_critique,True
17021,260,6,1182.220000000,à_risque_critique,True
16510,190,6,2079.750000000,à_surveiller,True
12997,54,6,1492.490000000,à_surveiller,False
16676,31,5,1868.280000000,à_surveiller,False
18230,25,5,2735.160000000,à_surveiller,False
13722,100,8,4723.470000000,sain,False
17894,103,16,2201.000000000,sain,False
15203,16,11,3265.280000000,sain,False
17191,9,13,3916.620000000,sain,False
13089,3,160,87442.950000000,sain,False
14049,18,11,10615.770000000,sain,False
14790,71,7,1933.720000000,à_surveiller,False
14239,18,16,3177.360000000,sain,False
12863,197,5,2271.350000000,à_surveiller,False
17634,30,5,1814.670000000,à_surveiller,False
13577,59,8,2153.430000000,sain,False
16422,3,84,47995.470000000,sain,False
15055,292,3,560.070000000,à_risque_critique,True
17373,130,4,665.830000000,à_risque_critique,False
12972,231,4,1161.200000000,à_risque_critique,True
14182,261,4,678.770000000,à_risque_critique,True
16167,232,5,1386.120000000,à_risque_critique,True
16256,84,3,1579.370000000,à_risque_critique,True
15248,229,3,1893.930000000,à_risque_critique,True
16716,84,3,2149.680000000,à_surveiller,True
17862,141,4,1279.090000000,à_surveiller,True
14693,82,7,1165.360000000,à_surveiller,True
16768,89,7,1413.280000000,à_surveiller,False
15569,150,6,2499.140000000,à_surveiller,False
17165,102,6,1794.320000000,à_surveiller,True
14565,23,3,2587.650000000,à_surveiller,False
16085,54,9,1670.740000000,à_surveiller,False
17802,190,8,3868.280000000,à_surveiller,False
16105,66,5,2386.190000000,à_surveiller,True
16477,32,9,3378.070000000,sain,False
13929,144,10,3064.300000000,sain,False
17188,133,9,3543.140000000,sain,False
13131,5,5,2565.370000000,sain,False
13562,63,6,3642.120000000,sain,False
18044,16,14,2300.220000000,sain,False
17139,28,17,13621.890000000,sain,False
15125,25,13,12807.110000000,sain,False
13468,19,56,11276.660000000,sain,False
13287,421,3,781.590000000,à_risque_critique,True
15276,212,3,514.220000000,à_risque_critique,False
14569,270,3,371.590000000,à_risque_critique,False
13292,102,4,665.140000000,à_risque_critique,False
17041,178,4,909.210000000,à_risque_critique,False
16551,154,5,1626.070000000,à_surveiller,False
14403,35,4,1380.710000000,à_surveiller,False
15649,154,4,2170.350000000,à_surveiller,True
12967,176,3,4306.920000000,à_surveiller,True
12993,25,6,1020.170000000,à_surveiller,False
13527,19,7,2981.870000000,sain,False
14243,63,12,6355.350000000,sain,False
17690,4,15,5754.080000000,sain,False
14577,50,5,982.550000000,à_surveiller,False
17618,66,10,3768.440000000,sain,False
13778,309,3,945.790000000,à_risque_critique,False
15198,226,3,377.710000000,à_risque_critique,False
14820,198,5,767.470000000,à_risque_critique,False
17555,152,4,769.930000000,à_risque_critique,False
16378,65,3,362.950000000,à_risque_critique,True
13462,70,5,1153.850000000,à_surveiller,True
17726,213,7,1092.060000000,à_surveiller,True
13709,133,6,1738.400000000,à_surveiller,False
17854,3,6,1071.450000000,sain,True
14233,29,6,2400.650000000,sain,False
14001,50,8,3796.150000000,sain,False
14865,190,3,114.720000000,à_risque_critique,False
16344,327,3,741.320000000,à_risque_critique,False
14729,191,3,907.380000000,à_risque_critique,True
16174,309,4,1237.200000000,à_risque_critique,False
15723,182,4,947.650000000,à_risque_critique,True
14549,129,4,916.550000000,à_risque_critique,True
17025,191,4,1313.840000000,à_risque_critique,False
17524,179,3,539.140000000,à_risque_critique,True
15092,33,3,776.460000000,à_risque_critique,True
13297,203,3,2278.770000000,à_risque_critique,False
16261,64,3,567.580000000,à_risque_critique,False
14818,71,4,630.860000000,à_risque_critique,False
15246,56,3,780.400000000,à_risque_critique,True
14136,218,5,1570.810000000,à_risque_critique,True
18151,107,5,1538.640000000,à_surveiller,False
14499,96,5,1449.670000000,à_surveiller,False
16681,23,4,1027.340000000,à_surveiller,False
13214,235,7,3264.230000000,à_surveiller,True
16950,185,8,2769.810000000,à_surveiller,False
14758,23,6,2587.850000000,sain,False
15023,36,13,8202.500000000,sain,False
17416,15,18,13853.040000000,sain,False
14769,19,13,10934.480000000,sain,False
16430,199,5,802.090000000,à_risque_critique,False
15220,21,3,858.190000000,à_surveiller,False
16037,87,5,1509.340000000,à_surveiller,True
14167,81,6,980.650000000,à_surveiller,False
15759,36,7,830.930000000,à_surveiller,True
15223,43,5,1417.950000000,à_surveiller,True
16306,31,7,1192.820000000,à_surveiller,True
15252,1,4,1663.180000000,à_surveiller,False
14224,33,7,1343.100000000,à_surveiller,False
14597,9,5,1483.490000000,à_surveiller,False
14700,7,4,2438.560000000,sain,False
14854,45,7,2754.360000000,sain,False
15606,40,14,4137.180000000,sain,False
13001,2,30,22198.630000000,sain,False
13980,257,4,599.780000000,à_risque_critique,False
17731,1,4,1131.450000000,à_surveiller,False
16992,17,10,4533.340000000,sain,False
15111,190,3,1451.890000000,à_risque_critique,False
14609,114,7,1028.640000000,à_surveiller,False
12909,19,6,2452.890000000,sain,False
14828,14,13,9839.460000000,sain,True
14947,206,4,758.970000000,à_risque_critique,False
16049,193,3,787.890000000,à_risque_critique,False
15428,205,3,668.970000000,à_risque_critique,False
16679,184,3,793.060000000,à_risque_critique,True
16048,191,4,1075.230000000,à_risque_critique,True
13889,200,5,1574.330000000,à_risque_critique,False
16109,36,3,939.480000000,à_risque_critique,True
14538,74,4,1089.090000000,à_risque_critique,False
15574,176,5,1406.600000000,à_surveiller,False
16949,3,4,893.750000000,à_surveiller,False
17988,144,7,349.560000000,à_surveiller,False
15561,33,5,1399.550000000,à_surveiller,False
14199,36,4,1091.700000000,à_surveiller,True
15572,66,6,2391.850000000,sain,False
17597,31,5,3484.090000000,sain,True
15704,5,4,3031.660000000,sain,False
15971,60,10,2784.180000000,sain,False
16928,8,16,2272.490000000,sain,False
17612,32,14,4012.160000000,sain,False
14825,22,17,3724.040000000,sain,False
16919,10,22,4584.810000000,sain,False
17589,5,16,12826.700000000,sain,False
17706,5,19,11436.760000000,sain,False
15133,75,4,1482.380000000,à_surveiller,False
15535,54,5,962.810000000,à_surveiller,False
13554,198,7,1638.280000000,à_surveiller,True
13208,24,6,1464.810000000,à_surveiller,False
16351,150,13,3330.030000000,sain,True
13052,30,7,3167.680000000,sain,True
15658,8,8,2423.470000000,sain,True
14744,115,12,3713.130000000,sain,False
17306,22,10,4346.700000000,sain,False
14895,22,21,17900.610000000,sain,False
18225,22,19,9213.210000000,sain,False
16499,178,8,2578.340000000,à_surveiller,True
16549,152,25,9147.040000000,sain,False
14299,136,22,12099.810000000,sain,False
16168,4,49,8244.180000000,sain,False
15309,428,4,797.960000000,à_risque_critique,True
16538,359,3,399.620000000,à_risque_critique,True
14754,113,5,1140.700000000,à_surveiller,False
15184,8,3,518.420000000,à_surveiller,False
12917,218,5,3765.200000000,à_surveiller,False
14175,147,6,4779.160000000,sain,False
17457,22,13,5644.750000000,sain,False
18198,5,11,3500.790000000,sain,False
17811,5,26,5830.900000000,sain,False
13872,345,3,919.570000000,à_risque_critique,True
17962,367,3,583.540000000,à_risque_critique,False
16774,241,4,932.930000000,à_risque_critique,False
13140,184,3,951.470000000,à_risque_critique,False
16913,108,3,423.910000000,à_risque_critique,True
17963,289,4,651.510000000,à_risque_critique,True
17876,217,3,3424.020000000,à_risque_critique,True
15359,480,8,181.350000000,à_risque_critique,True
13635,260,3,1928.130000000,à_risque_critique,False
